City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Hithadhoo,MV,82.67,clear sky,-0.6,73.0833,Scoop Guest House
8,Alaca,TR,85.55,broken clouds,40.1683,34.8425,يلدز محلا
9,Ierapetra,GR,88.14,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
12,Ako,JP,83.37,overcast clouds,34.75,134.4,Toyoko-Inn Banshu Ako ekimae
14,Albany,US,76.64,overcast clouds,42.6001,-73.9662,
18,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Haimen,CN,80.8,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
24,Khambhat,IN,82.0,overcast clouds,22.3,72.6167,Anand
25,Hambantota,LK,81.45,broken clouds,6.1241,81.1185,Bungalow 63
30,Maunabo,PR,85.69,overcast clouds,18.0072,-65.8993,Parador Maunacaribe
34,Asau,RO,76.12,broken clouds,46.4333,26.4,Casa Mika Ciobanus
37,Salalah,OM,80.67,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Saint George,US,79.95,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
41,Georgetown,MY,85.95,moderate rain,5.4112,100.3354,Cititel Penang
46,Agua Verde,MX,77.09,broken clouds,22.9,-106.05,
49,Vila,PT,79.7,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
52,Mocuba,MZ,82.49,clear sky,-16.8392,36.9856,Phama Lodge
53,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
57,Bengkulu,ID,78.39,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Penzance,GB,83.08,clear sky,50.1186,-5.5371,Artist Residence Penzance
61,Barcelos,PT,79.92,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
65,Gaoual,GN,85.15,light rain,11.75,-13.2,Hotel koliba
66,Margate,GB,85.1,clear sky,51.3813,1.3862,Premier Inn Margate hotel
68,Udarnyy,RU,76.57,scattered clouds,54.3409,42.8611,
69,Laela,TZ,77.67,overcast clouds,-8.5667,32.05,Samazi laela
70,Cabo San Lucas,MX,84.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
71,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
72,Simi,SL,78.28,moderate rain,9.5667,-12.35,
74,Nouadhibou,MR,75.29,scattered clouds,20.931,-17.0347,El Medina
76,Atuona,PF,76.5,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
80,Marmaris,TR,87.75,few clouds,36.855,28.2742,BLUE BAY PLATINUM HOTEL
81,Komsomolskiy,UZ,84.92,broken clouds,40.4272,71.7189,Ikathouse
