,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Busselton,AU,-33.65,115.3333,52.23,80,0,7.43,clear sky
1,Cap Malheureux,MU,-19.9842,57.6142,68.47,68,42,7.0,scattered clouds
2,Hithadhoo,MV,-0.6,73.0833,82.67,73,6,6.06,clear sky
3,Bluff,NZ,-46.6,168.3333,36.81,85,8,5.23,clear sky
4,Upernavik,GL,72.7868,-56.1549,41.59,78,99,6.64,overcast clouds
5,Vestmanna,FO,62.1564,-7.1664,54.52,71,100,11.5,overcast clouds
6,Lebu,CL,-37.6167,-73.65,47.91,72,80,2.28,broken clouds
7,Ushuaia,AR,-54.8,-68.3,34.9,90,87,2.37,overcast clouds
8,Alaca,TR,40.1683,34.8425,85.55,30,81,7.87,broken clouds
9,Ierapetra,GR,35.01,25.7353,88.14,46,1,11.99,clear sky
10,Nome,US,64.5011,-165.4064,50.07,87,100,6.91,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,61.81,71,100,18.9,overcast clouds
12,Ako,JP,34.75,134.4,83.37,79,88,7.36,overcast clouds
13,Kaitangata,NZ,-46.2817,169.8464,31.98,93,9,4.5,clear sky
14,Albany,US,42.6001,-73.9662,76.64,65,100,1.01,overcast clouds
15,Longyearbyen,SJ,78.2186,15.6401,48.04,71,75,12.66,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,72.7,71,85,21.81,overcast clouds
17,Vredendal,ZA,-31.6683,18.5012,65.62,60,100,16.71,overcast clouds
18,Hilo,US,19.7297,-155.09,82.27,95,100,3.44,light rain
19,Hobart,AU,-42.8794,147.3294,49.86,89,40,10.36,scattered clouds
20,Haimen,CN,23.1935,116.6142,80.8,83,96,5.95,overcast clouds
21,Khani,GE,41.9563,42.9566,74.77,59,41,6.11,scattered clouds
22,Jamestown,US,42.097,-79.2353,70.18,52,0,12.66,clear sky
23,Valday,RU,57.9747,33.2525,73.08,39,10,7.38,clear sky
24,Khambhat,IN,22.3,72.6167,82.0,85,100,21.47,overcast clouds
25,Hambantota,LK,6.1241,81.1185,81.45,74,64,22.66,broken clouds
26,Pinotepa Nacional,MX,16.3167,-98.0167,70.61,95,100,4.61,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,37.65,77,100,6.98,overcast clouds
28,Nizhniy Baskunchak,RU,48.2198,46.8311,99.63,12,49,16.04,scattered clouds
29,Tasiilaq,GL,65.6145,-37.6368,39.36,75,67,2.37,broken clouds
30,Maunabo,PR,18.0072,-65.8993,85.69,78,99,11.72,overcast clouds
31,Vaini,TO,-21.2,-175.2,71.31,81,100,14.27,overcast clouds
32,Barrow,US,71.2906,-156.7887,44.62,93,100,25.32,mist
33,Dikson,RU,73.5069,80.5464,42.53,98,100,11.34,overcast clouds
34,Asau,RO,46.4333,26.4,76.12,47,76,8.1,broken clouds
35,Avarua,CK,-21.2078,-159.775,71.65,83,20,9.22,few clouds
36,Saint-Francois,FR,46.4154,3.9054,92.68,21,0,6.91,clear sky
37,Salalah,OM,17.0151,54.0924,80.67,78,73,17.65,broken clouds
38,Saint George,US,37.1041,-113.5841,79.95,55,100,4.0,overcast clouds
39,Deputatskiy,RU,69.3,139.9,49.6,89,95,4.41,overcast clouds
40,Ordu,TR,40.9086,37.6845,71.56,54,1,5.84,clear sky
41,Georgetown,MY,5.4112,100.3354,85.95,79,20,3.44,moderate rain
42,Muisne,EC,0.6,-80.0333,74.16,83,100,12.15,overcast clouds
43,Manono,CD,-7.3,27.4167,95.34,16,11,4.34,few clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,68.56,98,100,7.0,overcast clouds
45,Baker City,US,44.7749,-117.8344,71.19,88,0,0.0,clear sky
46,Agua Verde,MX,22.9,-106.05,77.09,80,83,2.3,broken clouds
47,Korla,CN,41.7597,86.1469,91.98,20,99,14.56,overcast clouds
48,East London,ZA,-33.0153,27.9116,68.94,69,100,7.52,overcast clouds
49,Vila,PT,42.0304,-8.1588,79.7,55,0,7.63,clear sky
50,Vostok,RU,46.4856,135.8833,56.66,98,92,2.06,light rain
51,Tuktoyaktuk,CA,69.4541,-133.0374,48.42,81,100,14.2,overcast clouds
52,Mocuba,MZ,-16.8392,36.9856,82.49,36,0,5.79,clear sky
53,Kapaa,US,22.0752,-159.319,75.52,86,0,16.11,clear sky
54,Port Alfred,ZA,-33.5906,26.891,68.63,66,100,9.4,overcast clouds
55,Atambua,ID,-9.1061,124.8925,72.52,88,31,4.52,scattered clouds
56,Pevek,RU,69.7008,170.3133,38.41,93,87,6.38,overcast clouds
57,Bengkulu,ID,-3.8004,102.2655,78.39,87,20,3.38,few clouds
58,Penzance,GB,50.1186,-5.5371,83.08,47,0,5.75,clear sky
59,Ilulissat,GL,69.2167,-51.1,42.82,93,100,6.91,light intensity drizzle
60,Port Elizabeth,ZA,-33.918,25.5701,70.11,74,100,1.99,overcast clouds
61,Barcelos,PT,41.5388,-8.6151,79.92,66,78,6.46,broken clouds
62,Nelson Bay,AU,-32.7167,152.15,55.11,95,100,5.01,overcast clouds
63,Angoram,PG,-4.0625,144.0661,74.16,98,97,1.21,overcast clouds
64,Tucurui,BR,-3.7661,-49.6725,91.65,45,13,3.6,few clouds
65,Gaoual,GN,11.75,-13.2,85.15,72,98,3.8,light rain
66,Margate,GB,51.3813,1.3862,85.1,66,0,7.0,clear sky
67,Thompson,CA,55.7435,-97.8558,60.33,56,1,8.9,clear sky
68,Udarnyy,RU,54.3409,42.8611,76.57,41,49,7.05,scattered clouds
69,Laela,TZ,-8.5667,32.05,77.67,25,89,6.55,overcast clouds
70,Cabo San Lucas,MX,22.8909,-109.9124,84.51,72,20,11.5,few clouds
71,Victoria,HK,22.2855,114.1577,81.32,91,100,8.99,overcast clouds
72,Simi,SL,9.5667,-12.35,78.28,93,88,7.81,moderate rain
73,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,39,13.98,scattered clouds
74,Nouadhibou,MR,20.931,-17.0347,75.29,75,44,24.49,scattered clouds
75,Yellowknife,CA,62.456,-114.3525,48.56,81,0,5.99,clear sky
76,Atuona,PF,-9.8,-139.0333,76.5,75,10,19.33,clear sky
77,Tiarei,PF,-17.5333,-149.3333,73.42,74,1,9.4,clear sky
78,Coquimbo,CL,-29.9533,-71.3436,49.73,100,75,3.44,broken clouds
79,Cervo,ES,43.6702,-7.4101,68.97,81,66,16.26,broken clouds
80,Marmaris,TR,36.855,28.2742,87.75,49,22,2.48,few clouds
81,Komsomolskiy,UZ,40.4272,71.7189,84.92,24,70,9.22,broken clouds
82,Drovyanaya,RU,51.5833,113.0333,61.48,53,96,1.72,overcast clouds
83,San Policarpo,PH,12.1791,125.5072,80.96,79,34,2.53,scattered clouds
84,Clyde River,CA,70.4692,-68.5914,39.43,93,40,9.22,scattered clouds
85,Bulgan,MN,48.8125,103.5347,60.22,81,100,1.1,overcast clouds
86,Mataura,NZ,-46.1927,168.8643,28.65,97,8,2.59,clear sky
87,Ambilobe,MG,-13.2,49.05,79.86,44,28,9.37,scattered clouds
88,Nikolskoye,RU,59.7035,30.7861,77.88,44,100,9.48,overcast clouds
89,Tiksi,RU,71.6872,128.8694,46.6,85,100,7.14,overcast clouds
90,Bathsheba,BB,13.2167,-59.5167,83.55,74,23,10.83,few clouds
91,Konstantinovka,RU,49.6167,127.9833,55.44,94,56,5.06,broken clouds
92,Dahuk,IQ,36.8695,42.994,100.83,15,0,8.41,clear sky
93,Posevnaya,RU,54.3006,83.3297,74.64,45,82,9.28,broken clouds
94,San Rafael,AR,-34.6177,-68.3301,54.39,36,0,3.11,clear sky
95,Jinchang,CN,38.4953,102.1739,85.14,49,87,4.92,overcast clouds
96,Guerrero Negro,MX,27.9769,-114.0611,72.1,78,67,8.81,broken clouds
97,Media Luna,CU,20.1419,-77.435,83.44,66,8,9.33,clear sky
98,Airai,TL,-8.9266,125.4092,59.58,96,64,3.02,broken clouds
99,Husavik,IS,66.0449,-17.3389,52.9,66,90,2.55,overcast clouds
100,Mwinilunga,ZM,-11.7358,24.4293,84.0,13,5,8.7,clear sky
101,Monrovia,LR,6.3005,-10.7969,83.97,76,94,14.03,light rain
102,Castro,BR,-24.7911,-50.0119,55.6,66,33,8.19,scattered clouds
103,Saint-Augustin,CA,51.226,-58.6502,65.46,71,100,15.75,overcast clouds
104,Peleduy,RU,59.6289,112.7406,55.69,93,100,3.78,overcast clouds
105,Maniitsoq,GL,65.4167,-52.9,43.39,80,89,9.75,overcast clouds
106,Kieta,PG,-6.2167,155.6333,78.62,82,100,2.86,overcast clouds
107,Pasighat,IN,28.0667,95.3333,81.84,86,100,2.35,overcast clouds
108,Manta,EC,-0.95,-80.7333,71.96,80,99,9.08,overcast clouds
